,Year,Province,Products,VALUE
3202,2014,British Columbia,Total transportation,14468.3
3203,2014,British Columbia,Passenger air transport,4468.0
3204,2014,British Columbia,Passenger rail transport,16.5
3205,2014,British Columbia,Passenger water transport,563.5
3206,2014,British Columbia,"Interurban, charter and tour bus transport",461.4
3207,2014,British Columbia,Taxis,323.1
3208,2014,British Columbia,Vehicle rental,448.4
3209,2014,British Columbia,Vehicle repairs and parts,3280.8
3210,2014,British Columbia,Vehicle fuel,4906.6
3211,2014,British Columbia,Total accommodation,2384.5
3212,2014,British Columbia,Hotels,1952.7
3213,2014,British Columbia,Motels,140.5
3214,2014,British Columbia,Camping,139.5
3215,2014,British Columbia,Other accommodation,151.8
3216,2014,British Columbia,Total food and beverage services,10896.0
3217,2014,British Columbia,Meals from accommodation,633.8
3218,2014,British Columbia,Meals from restaurants,8192.4
3219,2014,British Columbia,Alcoholic beverages from accommodation,482.9
3220,2014,British Columbia,Alcoholic beverages from restaurants,943.7
3221,2014,British Columbia,Meals and alcoholic beverages from other tourism industries,643.2
3222,2014,British Columbia,Total other tourism products,5442.4
3223,2014,British Columbia,Recreation and entertainment,4023.6
3224,2014,British Columbia,Travel services,680.4
3225,2014,British Columbia,Convention fees,143.0
3226,2014,British Columbia,Pre-trip expenses,595.4
3227,2014,British Columbia,Total other products,387919.3
3228,2014,British Columbia,Groceries,13673.4
3229,2014,British Columbia,"Beer, wine, and liquor from stores",2963.3
3230,2014,British Columbia,Urban transit and parking,504.8
3231,2014,British Columbia,Miscellaneous products,370777.8
3232,2014,British Columbia,Total tourism expenditures,15570.4
3233,2014,British Columbia,Total tourism products,13331.3
3234,2014,British Columbia,Total transportation,6422.3
3235,2014,British Columbia,Passenger air transport,3957.6
3236,2014,British Columbia,Passenger rail transport,15.5
3237,2014,British Columbia,Passenger water transport,430.9
3238,2014,British Columbia,"Interurban, charter and tour bus transport",187.8
3239,2014,British Columbia,Taxis,69.6
3240,2014,British Columbia,Vehicle rental,210.3
3241,2014,British Columbia,Vehicle repairs and parts,622.3
3242,2014,British Columbia,Vehicle fuel,928.3
3243,2014,British Columbia,Total accommodation,2236.0
3244,2014,British Columbia,Hotels,1825.9
3245,2014,British Columbia,Motels,137.9
3246,2014,British Columbia,Camping,129.5
3247,2014,British Columbia,Other accommodation,142.7
3248,2014,British Columbia,Total food and beverage services,2254.2
3249,2014,British Columbia,Meals from accommodation,130.3
3250,2014,British Columbia,Meals from restaurants,1661.6
3251,2014,British Columbia,Alcoholic beverages from accommodation,111.1
3252,2014,British Columbia,Alcoholic beverages from restaurants,216.7
3253,2014,British Columbia,Meals and alcoholic beverages from other tourism industries,134.5
3254,2014,British Columbia,Total other tourism products,2418.8
3255,2014,British Columbia,Recreation and entertainment,1022.9
3256,2014,British Columbia,Travel services,666.8
3257,2014,British Columbia,Convention fees,133.7
3258,2014,British Columbia,Pre-trip expenses,595.4
3259,2014,British Columbia,Total other products,2239.1
3260,2014,British Columbia,Groceries,833.7
3261,2014,British Columbia,"Beer, wine, and liquor from stores",183.0
3262,2014,British Columbia,Urban transit and parking,49.6
3263,2014,British Columbia,Miscellaneous products,1172.8
3264,2014,British Columbia,Total tourism expenditures,6769.2
3265,2014,British Columbia,Total tourism products,5843.1
3266,2014,British Columbia,Total transportation,3001.1
3267,2014,British Columbia,Passenger air transport,1523.7
3268,2014,British Columbia,Passenger rail transport,5.0
3269,2014,British Columbia,Passenger water transport,182.3
3270,2014,British Columbia,"Interurban, charter and tour bus transport",79.9
3271,2014,British Columbia,Taxis,39.0
3272,2014,British Columbia,Vehicle rental,46.0
3273,2014,British Columbia,Vehicle repairs and parts,450.9
3274,2014,British Columbia,Vehicle fuel,674.3
3275,2014,British Columbia,Total accommodation,550.9
3276,2014,British Columbia,Hotels,424.4
3277,2014,British Columbia,Motels,42.7
3278,2014,British Columbia,Camping,61.7
3279,2014,British Columbia,Other accommodation,22.1
3280,2014,British Columbia,Total food and beverage services,990.5
3281,2014,British Columbia,Meals from accommodation,55.9
3282,2014,British Columbia,Meals from restaurants,722.9
3283,2014,British Columbia,Alcoholic beverages from accommodation,51.5
3284,2014,British Columbia,Alcoholic beverages from restaurants,100.6
3285,2014,British Columbia,Meals and alcoholic beverages from other tourism industries,59.6
3286,2014,British Columbia,Total other tourism products,1300.6
3287,2014,British Columbia,Recreation and entertainment,377.4
3288,2014,British Columbia,Travel services,279.3
3289,2014,British Columbia,Convention fees,48.5
3290,2014,British Columbia,Pre-trip expenses,595.4
3291,2014,British Columbia,Total other products,926.1
3292,2014,British Columbia,Groceries,385.6
3293,2014,British Columbia,"Beer, wine, and liquor from stores",84.6
3294,2014,British Columbia,Urban transit and parking,30.6
3295,2014,British Columbia,Miscellaneous products,425.3
3296,2014,British Columbia,Total tourism expenditures,8801.2
3297,2014,British Columbia,Total tourism products,7488.3
3298,2014,British Columbia,Total transportation,3421.0
3299,2014,British Columbia,Passenger air transport,2434.0
3300,2014,British Columbia,Passenger rail transport,10.5
3301,2014,British Columbia,Passenger water transport,248.5
3302,2014,British Columbia,"Interurban, charter and tour bus transport",107.9
3303,2014,British Columbia,Taxis,30.5
3304,2014,British Columbia,Vehicle rental,164.3
3305,2014,British Columbia,Vehicle repairs and parts,171.4
